Area;Circ.;Feret;FeretX;FeretY;FeretAngle;MinFeret;AR;Round;Solidity
502250;802;30208;2749500;308000;12426;24831;1183;845;950
2193250;722;71028;294000;353000;54744;44075;1563;640;951
3733000;800;81647;474000;310000;151866;64653;1212;825;962
120750;438;24005;337000;296000;144324;10404;2368;422;857
881000;800;39604;1300500;328000;46023;32000;1084;922;964
1342250;757;51010;1705500;324500;1123;40043;1167;857;966
61750;661;12298;1840000;301500;26565;9407;1282;780;884
3665000;832;80100;146500;325500;177138;65768;1170;855;979
223000;729;22461;1828000;313000;16821;15500;1340;746;941
5585500;810;101205;705000;336500;169467;74246;1260;793;974
585000;670;36366;1264500;317000;161565;26035;1460;685;945
1478250;712;55682;2161000;341500;27255;42392;1239;807;933
571250;650;36101;2429500;331000;59172;27617;1254;797;946
1397000;698;53012;986000;300500;115115;40395;1298;771;916
906750;757;44721;2693000;341500;63435;27589;1638;610;959
1650000;772;56305;430500;347000;41760;40281;1271;787;966
494250;751;32882;2780000;328000;45616;24902;1218;821;950
2857250;811;68966;1010000;329000;170401;56732;1172;854;977
932000;767;42606;1060000;312500;175962;33546;1293;773;959
2463250;814;66049;1384500;322000;150524;50168;1200;834;980
1506000;815;54023;1528000;353000;59400;38152;1257;795;968
1605250;803;52402;1654000;318000;138094;41719;1153;867;969
140750;704;18358;292500;321500;60642;11828;1645;608;910
1463750;789;52108;833500;354000;64418;41266;1186;843;971
66500;740;13601;1367000;307000;126027;7940;1507;664;927
1995500;676;70996;1823000;356500;39857;41939;1715;583;921
293500;651;29090;577000;307500;151232;17324;1898;527;935
1756500;824;53115;2715000;337500;3778;44448;1109;902;968
655250;772;33377;2795000;325000;171384;27187;1094;914;948
2800000;751;73650;2214500;309500;145231;55557;1345;744;941
1061250;776;45547;2619500;309500;107241;34901;1240;807;963
442250;690;31847;2923000;334000;22135;21878;1268;788;945
209000;707;20718;225000;313000;160253;15620;1145;873;917
5964000;794;99812;347500;407000;75198;75973;1253;798;971
1714750;853;53390;547500;317500;146459;44449;1166;857;973
472500;802;29300;1511000;311000;115253;24000;1047;955;962
579250;732;35892;1621000;320000;161313;23155;1267;790;949
479250;732;33305;2086000;332000;35838;20990;1471;680;947
269750;575;26800;1820500;337500;75964;19096;1501;666;906
2377250;796;68105;244500;367000;52457;48313;1171;854;976
147000;619;22727;130500;328000;39644;11910;1762;568;913
491250;662;37407;1103500;313500;127942;23118;1595;627;948
